county_state,GOP_2020,Avg_Trump_vote,Vax_Pct,Vax_5Plus_Pct,Vax_12Plus_Pct,Vax_18Plus_Pct,Vax_65Plus_Pct,COVID_Deaths_Per_10K,All_Deaths_Per_10K,median_age
Hampden County_MA,0.400216341,0.400216341,68.40000153,72.09999847,75.80000305,77.09999847,91.80000305,41.9,401.67,39.40000153
Vance County_NC,0.399590462,0.399590462,60.70000076,64.59999847,69.5,71.59999847,93.80000305,47.88,470.78,40.40000153
DuPage County_IL,0.399145275,0.399145275,78.69999695,83.19999695,86,86.69999695,95,21.22,276.87,40.09999847
La Plata County_CO,0.399052352,0.399052352,72.19999695,75.80000305,78.80000305,80,95,26.84,275.56,42.29999924
Chatham County_GA,0.399016559,0.399016559,57.79999924,61.5,65.5,66.80000305,86.40000153,51.16,471.54,37.09999847
Pima County_AZ,0.398970693,0.398970693,71.90000153,75.80000305,79.09999847,79.90000153,95,45.61,413.9,39.40000153
Story County_IA,0.398526579,0.398526579,64.59999847,67.30000305,68.69999695,68.5,95,18,231.32,27.39999962
Worcester County_MA,0.397401482,0.397401482,72.80000305,76.59999847,79.5,80,94.40000153,31.46,312.98,40.20000076
Kalamazoo County_MI,0.396216542,0.396216542,62.90000153,66.80000305,71.30000305,72.19999695,94.69999695,46.84,424.54,34.90000153
Northampton County_NC,0.394598871,0.394598871,49.70000076,52.09999847,54.79999924,56.90000153,76.69999695,18.68,385.31,51.20000076
